English,Igbo
scientist,sayentist nwoke
safe,nkeenweghinsogbu
agreement,nkwekorita
capital,ego
mouth,onu
nor,ma ha
victim,nwaanyi ihe meturu
newspaper,akwukwo akuko uwa
threat,mmenyeujo
responsibility,okwa inwalee
smile,ichi
attorney,atonii
score,Akara
account,akwukwo nkowa ego
interesting,kemmasi
audience,ndi nkiri
rich,uba
dinner,nri abali
vote,votu
western,keodida anyanwu
relate,iko
travel,ijenjem
debate,igbagha
prevent,gbochie
citizen,onye obodo
majority,otutu
none,onweghi
front,keihu
born,keomumu
admit,inabata
senior,nke toro
assume,iche
wind,ufereoyi
key,kii
professional,nke gbasara aka oru
mission,ozi
fast,osooso
alone,so ya
customer,onye ahia
suffer,itaahuhu
speech,okwuonu
successful,nke iganihu
option,mghoro
participant,nwaanyi osoibe
southern,nke ndida
fresh,ohuru
eventually,n'ikpeazu
forest,ohia
video,vidio
global,uwa
Senate,Onye isi
reform,mmezi
access,uzo
restaurant,restoranti
judge,ikpezi
publish,biputa
relation,ikwu nwaanyi
release,iheeweputara
bird,nunu
opinion,uche
credit,n'aka
critical,kennyocha
corner,akuku
concerned,omuma ndi
recall,icheta
version,veshion
stare,leezii
safety,nzerendo
effective,keoru oma
neighborhood,agbataobi
original,nke mbido
troop,ndi
income,ugwoonwa
directly,kpọmkwem
hurt,mmekuta
species,udi
immediately,ozugbo
track,trakt
basic,nke nkiti
strike,iku
sky,eluigwe
freedom,nnwereonwe
plane,plane
nobody,onweghi onye
achieve,imeta
object,iju
attitude,kasirihu
labor,ime omume
refer,tuo aka
client,odeakwukwo nwaanyi
powerful,nke di ike
perfect,zuruoke
nine,toolu
therefore,makankeahu
conduct,izi uzo
announce,igwa
conversation,ububo
examine,ile ule
touch,imetuaka
please,Biko
attend,iga
completely,kpamkpam
variety,mgwaghari
sleep,ura
involved,iso
investigation,nchoputa
nuclear,nukia
researcher,onye nnyocha
press,nke edere ede
conflict,ndokorita
spirit,mmuo
replace,idochi
British,Ndi isi akuko
encourage,ijaliobi
argument,arumaru
camp,kampu
brain,uburu
feature,mma
afternoon,ehihi
AM,Bu
weekend,wiikendi
dozen,iri na abuo
possibility,ihe puru omume
insurance,inshooransi
department,mpaghara
battle,agha
beginning,mbido
date,deeti
generally,jenaral
African,Onye Afirika
sorry,ndo
crisis,orurugbana
complete,imecha
fan,onye ofufe
stick,mkpisi
define,ikowasi
easily,mfe
hole,onu
element,mmewere
vision,vishion
status,nkwuru
normal,nke kwesiri
Chinese,Ndi China
ship,ship
solution,osisa
stone,okute
slowly,nwayo nwayo
scale,nha
university,univasiti
introduce,idubata
driver,diraiva
attempt,mnwale
park,dokota
spot,ntupo
lack,enweghi
ice,ais
boat,ugbo mmiri
drink,inu
sun,anwu
wood,osisi
handle,aka
truck,trok
mountain,ugwu
survey,sofia
supposed,kwesiri
tradition,odinaala
winter,winta
village,vileji
Soviet,Soviet
refuse,ekwela
sales,ahia
roll,rolu pepa
communication,nzikorita ozi
screen,sikreen
gain,uru
resident,residenti nwaanyi
hide,izo ezo
gold,gooldu
club,osisi
farm,oru ubi
potential,ike mmeputa
European,Keiroopu
presence,nonyere
independent,kennoroonwe
district,distrikt
shape,udi
reader,ogu akwukwo nwoke
Ms,Ms
contract,nsuko
crowd,igwurube mmadu
Christian,Onyeuka kraisti
express,ikwuputa obi
apartment,ulo
willing,keikweme
strength,agbamume
previous,nke mgbe gara aga
band,bandi
obviously,igbanihe
horse,inyinya
interested,mmasị
target,taget
prison,ulo nkporo
ride,okwukwo moto
guard,uzo nchedo
terms,Okwu
demand,ina
reporter,repota nwaanyi
deliver,iwegara
text,nsiride
tool,ngwa oru
wild,azughiazu
vehicle,ugbo
observe,leruoanya
flight,njem ugbo elu
facility,ebe oru
understanding,kenghota
emerge,iputa
advantage,uru
quick,ngwa
leadership,ochichi
earn,irite
pound,suo suo
basis,ebe mbido
bright,nchapu
operate,igwo
guest,onye obia
sample,sampul
contribute,itu utu
tiny,kentakiri
block,mgbochi
protection,nchegide
settle,idozi
feed,oriri
collect,iweta
additional,kemgbako
highly,nkelakuelu
identity,njirimara
title,aha
mostly,ọkachasị
lesson,omumu ihe
faith,okwukwe
river,osimiri
promote,bufee n'okwa
living,ibi
count,igu onu
unless,ma
marry,ilu di
tomorrow,echi
technique,teknik
path,uzo ndiji ukwu eje
ear,nti
shop,shop
folk,ndiife
principle,prinsipul
survive,nwufo
lift,inwego
border,oke
competition,isompi
jump,ima elu
gather,zukota
limit,mgwucha
fit,ima mma
cry,akwa
equipment,ntinyere
worth,nkwesi
associate,onye otu
critic,onyenkuzi
warm,keikpo oku
aspect,akuku akuku
insist,isi onwu
failure,odida
annual,keafo
French,Ndi French
Christmas,Krisimaasi
comment,mchere
responsible,nke inwlee
affair,ihe omume
procedure,uzo esi eme ihe
regular,nke mgbedum
spread,kesaa
chairman,onyeisi oche
baseball,baketbal
soft,juu
ignore,ileghara anya
egg,akwa
belief,okwukwe
demonstrate,igosi
anybody,onye obula
murder,ogbugbu
gift,onyinye
religion,mkerechi
review,ntuleghari
editor,onye ndezi
engage,itinye onu
coffee,kọfị
document,dokumenti
speed,ngwangwa
cross,uhie
influence,ike onwunwe
anyway,uzo obula
threaten,imenyeujo
commit,ime
female,kenwaanyi
youth,mgbe okoroobia
wave,fee
afraid,keujo
quarter,nkeji keano
background,ndabere
native,nwaafo
broad,n'uju
wonderful,kentunnanya
deny,igo ago
apparently,otu o di
slightly,slaitili
reaction,mmegwara
twice,ugboabuo
suit,uwe
perspective,pespektivu
growing,nto ibu
blow,igbu
construction,mwube
intelligence,amamiihe
destroy,ime
cook,isi nri
connection,njikota
burn,ire
shoe,akpukpoukwu
grade,greedi
context,onodu
committee,komitii
hey,hey
mistake,mmejo
location,mchputa
clothes,akwa
Indian,Onye India Amerika
quiet,ida juu
dress,inyi akwa
promise,kwee nkwa
aware,ke mmata
neighbor,onyeagbataobi
function,oru oruru
bone,okpukpu
active,keomume
extend,igbati
chief,chiifu
combine,igwakota
wine,mmanya
below,n'okpuru
cool,kenwayo
voter,vootu
learning,imu ihe
bus,moto
hell,oku mmuo
dangerous,kedi egwu
remind,ichetara
moral,ikpa agwa
United,Kenjikota
category,udi udi
relatively,maka ikwu
victory,mmeri
academic,akadamiiki
Internet,Onnetnwansi
healthy,keji ahu
negative,nju
following,keosuso
historical,keakuko
medicine,ọgwụ
tour,njem
depend,idabe
photo,foto
finding,icho
grab,ijido
direct,izi uzo
classroom,klaasị
contact,omuma mmadu
justice,mkpezi
participate,soroibe
daily,ubochi dum
fair,ditu mma
pair,abuo
famous,keomuma
exercise,igbati ahu
knee,ikpere
flower,fulawa
tape,tep
hire,ihaya
familiar,mmatazu
appropriate,kendabanye
supply,mbunyeiheahia
fully,nke zuru oke
actor,omee
birth,omumu
search,ochucho
tie,tie
democracy,ochi di nkiti
eastern,ke owuwa anyanwu
primary,ika mkpa
yesterday,unyahu
circle,gburugburu
device,ihe eji emeihe
progress,oganiru
bottom,ukwu
island,nno na mmiri
exchange,mgbanwe
clean,nkeocha
studio,gara aga
train,tren
lady,agboghobia
colleague,onye otu
application,akwukwo icho oru
neck,olu
lean,dabere
damage,mmebi
plastic,plasitiki
tall,ogologo
plate,efere
hate,asi
otherwise,ma obughi otua
writing,odide
male,oke
alive,kendu
expression,mkwuputa obi
football,kobloba
intend,icho ime
chicken,ọkụkọ
army,ami
abuse,mkparia
theater,ekwuru
shut,igbachi
map,maapu
extra,mmezi
session,seshion
danger,Ihe egwu
welcome,nnabata
domestic,keulo
lots,loza
literature,agumagu
rain,mmiri ozuzo
desire,mmasi
assessment,ntule
injury,mmeru ahu
respect,nkwanye ugwu
northern,nke ugwu
nod,kwee iisi
paint,agba
fuel,fuelu
leaf,ahihia
dry,okponku
Russian,Russian
instruction,nkuzi
pool,puul
climb,inyielu
sweet,nke uto
engine,enjin
fourth,keano
salt,nnu
expand,imeba
importance,uru
metal,metal
fat,abuba
ticket,tiket
software,sofia
disappear,ifu efu
corporate,ulo oru
strange,nke mgbagojuanya
lip,egbugbereonu
reading,ogugu
urban,merban
mental,keisimgbaka
increasingly,na-ekwuwanye
lunch,nri ehihie
educational,agụmakwụkwọ
somewhere,ebeufodu
farmer,onye oru ubi
sugar,suga
planet,planet
favorite,nhuru n'anya
explore,njem ichoputa
obtain,kennata
enemy,onye iro
greatest,nke ukwuu
complex,dinuche
surround,igbagburugburu
athlete,onye supotu
invite,ikpo oku
repeat,imekwa
carefully,kpachara anya
soul,mmuo
scientific,sayentifik
impossible,ekweghi omume
panel,panel
meaning,nghota
mom,mama
married,keolulu
instrument,nkwa egwu
predict,buo amuma
weather,udidiubochi
presidential,onye ochichiisinu
emotional,kemmetuta obi
commitment,nkwa
Supreme,Nke nkacha
bear,biya
pocket,akpa efe
thin,girigiri
temperature,temperacho
surprise,mberede
poll,nghoputa
proposal,nkwunye
consequence,rizootu
breath,nkuru ume
sight,anya
balance,itule
adopt,ikporo
minority,onodu ntakiri
straight,Kwụ ọtọ
connect,ijiko
works,na-arụ ọrụ
teaching,izi ihe
belong,iso
aid,enyemaka
advice,ndumodu
okay,keokele
photograph,foto
empty,efu
regional,nke obodo
trail,treel
novel,novul
code,akara otu
somehow,otuodila
organize,kpokota
jury,juri
breast,ara
Iraqi,Iraqi
acknowledge,ikwupuru
theme,tiim
storm,ebilimmiri
union,mjikota
desk,oche
thanks,ekele
fruit,mkpuru osisi
expensive,kedionu
yellow,odoodo
conclusion,mmechi
prime,prime
shadow,onyinyo
struggle,ndoli
conclude,imechi
analyst,onye nleba anya
dance,egwu
regulation,iwu
being,ịbụ
ring,igbaolaka
largely,nke nta
shift,nnofega
revenue,ugwo
mark,akara
locate,ichoputa
county,kodi
appearance,mputa
package,ngwugwu
difficulty,nsiike
bridge,akwa
recommend,kwanye
obvious,gbaraihe
basically,ezi ihe
e-mail,e-mail
generate,igbanye
anymore,ozo
propose,kwuputa ihe achoro ime
thinking,icheta
possibly,nke puru omume
trend,igba
visitor,onyeobia nwoke
loan,mbinye ego
currently,oge ugbua
comfortable,kennotu
investor,itinye ego
profit,rite uru
angry,keiwe
crew,ndi oru ugbo
accident,oghom
meal,nri
hearing,nu ihe
traffic,trafik
muscle,anuaru
notion,ihembuuche
capture,ijido n'agha
prefer,choo karia
truly,nke nsiridi
earth,ala
Japanese,Kondonese
chest,akpatiigwe
thick,keakwuliko
cash,ego
museum,oba nkaokpu
beauty,mma
emergency,emajensii
unique,kepuruiche
internal,odiniime
ethnic,agbụrụ
link,omuma mmadu
stress,nsunoobi
content,ndinaya
select,ighoputa
root,mgborogwu
nose,imi
declare,ikwusa
appreciate,inye ekele
actual,kemereme
bottle,boturu
hardly,ihia aru
setting,mwube
launch,igba egbe
file,failu
sick,nke ahuesighiike
outcome,ndaputa
ad,edo
defend,ize eze
duty,oru
sheet,akwandina
ought,tota
ensure,ihu na emere
Catholic,Onye katoliki
extremely,kemgwucha
extent,oruru
component,anuahu
mix,gwakota
long-term,ogologo oge
slow,emesighiiheike
contrast,ndiiche
zone,nkebi
wake,teta
airport,ulo ugbo elu
brown,brawu
shirt,uwe
pilot,onyenaanya ugboelu
warn,iduodu
ultimately,n'ikpeazụ
cat,pusi
contribution,utu
capacity,ike
ourselves,n'onwe anyi
estate,ala ewu
guide,izi ozizi
circumstance,inwe onodu
snow,sinoo
English,Bekee
politician,onye ochichi
steal,izu
pursue,chuo
slip,slipu
percentage,n'ime nari
meat,anu anu
funny,di egwu
neither,abughi
soil,ala
surgery,ogwugwo
correct,imaaki
Jewish,Kejuu
blame,uta
estimate,iru eru
due,n'ihi na
basketball,bayebul
golf,goofu
investigate,ichoputa
crazy,keara
significantly,nke otutu
chain,heenu
branch,mpalaga osisi
combination,mgwakota
frequently,kemgbe na mgbe
governor,onye ochichi
relief,nnwereonwe
user,o
dad,nna
kick,mgbanye
manner,uzo omume
ancient,kegboo
silence,juu
rating,ngosi
golden,kegooldu
motion,ukporo
German,Nwoke nwoke
gender,okike nwoke
solve,isa
fee,ugwo okwukwu
landscape,odida obodo
used,eji
bowl,nnukwu efere
equal,nhara
forth,pụta
frame,odidi ahu
typical,tipikal
except,na beluso
conservative,doo anya
eliminate,iwepu
host,onye nnabata
hall,ulo
trust,ntukwasi obi
ocean,osimiri
row,ahiri
producer,onye na-emeputa ihe
afford,imeli
meanwhile,oburu
regime,oge ochichi
division,nkewa
confirm,ikwete
fix,ifiksi
appeal,itinye akwukwo ozo
mirror,anyo
tooth,eze
smart,nke imaihe
length,ogologo
entirely,kpam kpam
rely,dabere
topic,ahaisiokwu
complain,ikpesa
variable,veriebul
telephone,telifon
perception,ngannuche
attract,ido akpari
confidence,okwukwe
bedroom,ime ulo
secret,nke nzuzo
debt,ugwo
rare,emeghi mgbe dum
tank,tank
nurse,nosi
coverage,mkpuchi
opposition,mbusoagha
aside,rude
anywhere,ebe obula
bond,njikota
pleasure,obiuto
master,nna ukwu
era,era
requirement,iheachoro
fun,anuru
expectation,mbunobi
wing,nkunnunu
separate,nke iweputa
somewhat,dikafodu
pour,wunye
stir,ibido
judgment,mkpezi
beer,biya
reference,nrutuaka
tear,ikwa
doubt,idautu
grant,inyere aka
seriously,sie
minister,ukochukwu
totally,mgbakotacha
hero,odogwu
industrial,keindostri
cloud,urupuru
stretch,igbati
winner,onyemmeri nwaanyi
volume,ibu
seed,mkuruosisi
surprised,maa anya
fashion,eyimeeyi
pepper,ose
busy,keigbambo
intervention,ntinye onu
copy,kopi
tip,ngaazu
cheap,keonuala
aim,ibu n'obi
cite,ikpoputa
welfare,inwe mmasị
vegetable,akwukwo nri
gray,awo
dish,ite nri
beach,biishi
improvement,oganiihu
everywhere,ebe obula
opening,mmeghe
overall,n'ozuzu
divide,ike
initial,kembido
terrible,kemmenyeujo
oppose,ibuso agha
contemporary,keomume
route,uzo
multiple,otutu
essential,ndika
league,otu
criminal,onye mere mpu
careful,ikpako onu
core,isi
upper,elu elu
rush,rosh
necessarily,ibudighi
specifically,kpọmkwem
tired,kemgwumike
employ,iwe n'oru
holiday,ezumiike
vast,nke ukwu
resolution,ikpe
household,ezi na ulo
fewer,ole na ole
abortion,mwepu
apart,iche iche
witness,gbaa
match,iha aha
barely,sonso
sector,mpaghara
representative,onye nnochi nwaanyi
beneath,n'okpuru
beside,ewepu
incident,omenene
limited,amachaghị
proud,ikpa nganga
flow,igba
faculty,ngalaba
increased,igughari
waste,mmefu
merely,naanị
mass,uka
emphasize,ikwusi ike
experiment,eksperimenti
definitely,ndoro anya
bomb,bombu
enormous,nnukwu ibu
tone,udaolu
liberal,keobioma
massive,kennukwu
engineer,enjinia
wheel,wiil
decline,odida
invest,itinye ego
cable,aya
towards,gaa
expose,igbabo
rural,nke imeobodo
AIDS,Mịsi
Jew,Juu
narrow,nanho
cream,ude
secretary,odeakwukwo nwoke
gate,Ọnụ ụzọ
solid,nke siriike
hill,ugwu
typically,otutu
noise,mkpotu
grass,ahihia
unfortunately,makaihu ojoo
hat,okpu
legislation,iwu
succeed,inochi
celebrate,ime mmeme
achievement,mmeta
fishing,ozuzu igbu anu
accuse,ibo ebubo
useful,keibauru
reject,iju
talent,uburu
taste,uto
characteristic,keejirara
milk,mmiri ara
escape,igbapu
cast,igba
sentence,ahiriokwu
unusual,ebughieme
closely,noorinso
convince,ido anya
height,ogo
physician,dibịa
assess,itule
plenty,use
virtually,ihe nile
addition,mgbako
sharp,nke dinko
creative,ekeere uche
lower,ibuda ala
approve,inabata
explanation,nkowa
gay,nwoke
campus,kampos
proper,kwesiri ekwesi
guilty,keomuma ikpe
acquire,inwete
compete,isompi
technical,teknikal
plus,igbakota
immigrant,onye mbiara mbiara
weak,adighi ike
illegal,kemegidere iwu
hi,ndewo hi
alternative,nke ozo
interaction,nkukoria uka
column,nkwadoulo
personality,mmadu inwe ugwu
signal,signal
curriculum,osisa
honor,echichi
passenger,onyeije nwoke
assistance,mnyemeaka
forever,ebighi ebi
regard,lee
Israeli,Izrel
association,nkwu
twenty,iri abuo
knock,iku aka
wrap,kechie
lab,anoghinso
display,ngosi
criticism,nnyocha
asset,ihe achoro
depression,obi idamba
spiritual,nke mmuo
musical,miziikal
journalist,onye ntaakuko
prayer,ekpere
suspect,nwanyi onyearuturuaka
scholar,okammuta nwoke
warning,ndumodu
climate,klimeti
cheese,chiizi
observation,nleruanya
childhood,ogenwata
payment,okwukwu
sir,saar
permit,akwukwo inara ike
cigarette,sigareeti
definition,nkowasi
priority,nke buru uzo
bread,achicha
creation,okike
graduate,igucha akwukwo
request,aririo
emotion,mmetuta obi
scream,itimkpu
dramatic,keuma
universe,eluuwa
gap,gap
excellent,kacha mma
deeply,miri
prosecutor,onye ikpe
lucky,kechioma
drag,ikpuru
airline,ee lainu
library,oba akwukwo
agenda,ajenda
recover,naputa
factory,fakitri
selection,nghoputa
primarily,nkekacha mkpa
roof,eluulo
unable,enweghi ike
expense,idi onu
initiative,igba
diet,nri
arrest,njido
funding,ego oru
therapy,terapi
wash,suo
schedule,skedul
sad,nke mmute
brief,nkowa
housing,ndeputa
post,osisi
purchase,zuo
existing,dị
steel,stiil
regarding,gbasara
shout,itimkpu
remaining,nke foduru
visual,kenlere
fairly,dika ezi
chip,mgbawa
violent,keike
silent,nke ekwughiokwu
suppose,soposi
self,nke onye
bike,igwe inyinya
tea,tii
perceive,maranuche
comparison,ntulerita
settlement,mmezi
layer,oyi akwa
planning,ime atumaatu
description,nkowa
slide,slaid
widely,n'uzo
wedding,agbamakwukwo
inform,igwa
portion,ibe
territory,alaonye
immediate,ozugbo
opponent,onye iro
abandon,ihapu
lake,leeki
transform,igbanwe
tension,obimgbalielu
leading,ndu
bother,inye nsogbu
consist,iso
alcohol,mmanya na-eme n'anya
enable,inwe ike
bend,irozi
saving,nzọpụta
desert,ikpa
shall,ga
error,mmejo
cop,keep
Arab,Arirab
double,mkpi
sand,aja
Spanish,Spanish
print,deputa
preserve,gbochie maka mmebi
passage,onuuzo
formal,kendi
transition,ntughari
existence,odidi
album,abom
participation,msoroibe
arrange,ikwado
atmosphere,nkwuru
joint,okukpu
reply,iza
cycle,eregide
opposite,nke ozo
lock,igbachi
deserve,ikwesi
consistent,odinuudi
resistance,ekweghiekwe
discovery,mchoputa
exposure,mkpughepụ
pose,posu
stream,iyi
sale,onuahia
pot,ite
grand,kwa
mine,ogbunigwe ndisoja na-eli
hello,Nnọọ
coalition,mmekota
tale,akukoifo
knife,nma
resolve,imezi
racial,agbụrụ
phase,frasi
joke,egwuregwu
coat,ahuanu
Mexican,Muxan
symptom,nziputa
manufacturer,mmewe
philosophy,filosofi
potato,nduku
foundation,ntoaka
quote,kwotu
online,onnet
negotiation,mkpakorita
urge,ikwanye
occasion,mgbendaba
dust,dostu
breathe,ikuru ume
elect,ihoputa
investigator,onye nyocha
jacket,jakeeti
glad,obiuto
ordinary,nkiti
reduction,mmedata
rarely,adịkarịghị
pack,bukota
suicide,nkwugbu
numerous,otutu
substance,umi
discipline,ozuzu
elsewhere,ebe ozo
iron,igwe
practical,praktikal
moreover,ọzọ
passion,ahuhu
volunteer,omenobioma nwoke
implement,ime eme
essentially,Nkewa
gene,ozizi
enforcement,mmado
vs,vs
sauce,soosi
independence,nnoroonwe
marketing,ahia
priest,ukochukwu
amazing,kentunanya
intense,keike
advance,iga niihu
employer,onye oru
shock,ujo
inspire,kpate mmuo
adjust,imeghari
retire,ila ozuzi ike nka
visible,visibul
kiss,imi onu
illness,ọrịa
cap,okwuchi
habit,agwa
competitive,keisompi
juice,mmiri ihe
congressional,mmebe
involvement,mghasa
dominate,ikpakoro
previously,ugbua
whenever,otuodila
transfer,transfaa
analyze,iseke
attach,itinye
disaster,oru
parking,mbukota
prospect,mma di n'ime ihe
boss,onyeisi
complaint,mkpesa
championship,egwuregwu
fundamental,kedimkpa
severe,nke ikpachapuruanya
enhance,ikwakota
mystery,aru
impose,maari
poverty,mgbenyi
entry,obuba
spending,ime nnyocha
king,eze
evaluate,inwale
symbol,adimara
maker,onye metara
mood,muudu
accomplish,imete
emphasis,nkwusi ike
illustrate,Nye - eme
boot,buutu moto
monitor,ileba anya
Asian,Onye Eshia
entertainment,okwukwo obia
bean,agwa
evaluation,nleba
creature,ihe e kere
commander,ome komandi
digital,didital
arrangement,mkwado
concentrate,itinye echiche
usual,otutu mgbe
anger,iwe
psychological,maka agwa na uche mmadu
heavily,sierore
peak,nkacha elu
approximately,odika
increasing,kemmubanye
disorder,mgbagwoju anya
missile,ngwa ogu ana-atu atu
equally,ohiha
vary,igbanwe
wire,waya
round,gburugburu
distribution,nkesa
transportation,mbubata
holy,kenso
twin,ejima
command,komandi
commission,komishon
interpretation,nkowa
breakfast,nri ututu
strongly,ike siri ike
engineering,injinịaji
luck,chioma
so-called,a na-akpọ
constant,keechejighi
clinic,klinik
veteran,vetiran soja
smell,isi
tablespoon,tablepoon
capable,keike
nervous,imaririri
tourist,oje njem nwoke
toss,tuturu
crucial,kedimkpa
bury,ili
pray,kpee ekpere
tomato,Tomato
exception,beluso
butter,bota
deficit,mpe
bathroom,batruum
objective,mbunuuche
electronic,elektrọniki
ally,mmekorita
journey,njem
reputation,onodu
mixture,akwaoriri
surely,n'ezie
tower,towa
smoke,inanoku
confront,ibuso agha
pure,enweghi mebi
glance,nlekiri
dimension,uzo
toy,toyi
prisoner,nwaanyi onye nkporo
fellow,kooke
smooth,murumuru
nearby,Nọgide
peer,pear
designer,okwa akwa
personnel,pesonel
educator,oba akwukwo oruzi
relative,ikwu
immigration,mbiara mbiara
belt,beelutu
teaspoon,teaspoon
birthday,ubochi omumu
implication,imeputa
perfectly,nke zuru oke
coast,akuku mmiri
supporter,onye nkwado
accompany,isoro
silver,silva
teenager,nwaokorobia
recognition,ude
retirement,ozuzuike nka
flag,flaagi
recovery,mgbake
whisper,mgbamizu
gentleman,nwa amadi
corn,ọka
moon,onwa
inner,keime ime
junior,keobere
throat,akpiri
salary,egoonwa
swing,siwing
observer,onye nkiri
publication,akwukwo ndeputa maka ogugu
crop,akuku
dig,igwu
permanent,ebighiebi
phenomenon,phenomenon
anxiety,ume mmapu
unlike,n'adịghị ka
wet,mmiri mmiri
literally,udi nkiti
resist,resisti
convention,nzuko
embrace,ida obi
assist,inyere aka
exhibition,nziputa
construct,iwube
viewer,onye nlele
pan,ite
consultant,onye njuta
administrator,onye ochichi
occasionally,mgbeufodu
mayor,meyo
consideration,ntule
CEO,Onye isi
secure,nke ntukwasiobi
pink,pink
buck,ibutu
historic,keakukoala
poem,abu
grandmother,nne nne
bind,iragide
fifth,keise
constantly,echejighi
enterprise,ulo ozuzu
favor,mmenyere
testing,inwa
stomach,afo
apparent,ka o di
weigh,itu
install,ichi achichi
sensitive,maka inweuche
suggestion,ncheputa
mail,ozi
recipe,uzommeputa
reasonable,nke mgbaghaputa
preparation,njikere
wooden,keosisi
elementary,mmewere
concert,mmeochi
aggressive,keesemokwu
FALSE,Asi
intention,mbunobi
channel,chaneelu
extreme,mgwucha
tube,tub
drawing,osise
protein,protein
quit,hapu
absence,abiaghi
Latin,Latin
rapidly,ngwa ngwa
jail,mkporo
diversity,fee
honest,keeziokwu
Palestinian,Palestine
pace,keosoro
employment,oru
speaker,onyeokwukwu nwoke
impression,echiche
essay,edemede edemede
respondent,onye zara naputaibe
giant,ibu
cake,achicha
historian,onye akukoala
negotiate,kpakorita
restore,ikpoghachi
substantial,ukwu otutu
pop,pop
specialist,nwaanyi speshalist
origin,mbido
approval,nnabata
quietly,nwayo nwayo
conventional,okpeazu
depth,emiriemi
wealth,aku
disability,orusi
shell,shei
criticize,inyocha
effectively,nke kwere
biological,bayoloji
onion,yabasị
deputy,onye osote
flat,ohiha
brand,udi anumanu
assure,ikwe nkwa
mad,keara
award,inwe
criteria,njiri
dealer,ahia
via,site
utility,uchichi
precisely,udidi
arise,ibili
armed,njikere
highway,okporouzo mbasara
clinical,klinikal
routine,usoro imeihe
wage,ugwo
normally,ndabazi
phrase,nkebokwu
ingredient,mgwa ihe
stake,osisi osisi
Muslim,Majalim
fiber,eriri
activist,onye mmume
Islamic,Kealakwuba
snap,snap
terrorism,otummenyeujo
refugee,ogba osondu nwoke
incorporate,itinye
hip,hiipu
ultimate,kacha
switch,siwiich
corporation,kopoporation
valuable,kebara uru
assumption,mwere
gear,gia
barrier,ihe mgbochi
minor,obere
provision,ikele
killer,ogbu mmadu
assign,inye olu
gang,otu ojoogap
developing,shoulturing
classic,asị
chemical,kemikal
label,labeelu
teen,afọ
vacation,ezumike
advocate,ikwado
draft,ngworo
extraordinary,kediegwu
heaven,eluigwe
rough,roofu
yell,itimkpu
pregnant,idi ime
distant,kentoanya
drama,ejije
satellite,satelaiti
personally,onye ozo
clock,klook
chocolate,chokoleeti
Italian,Itasili
Canadian,Kasian
ceiling,silin
sweep,iza
advertising,mgbasa ozi ahia
universal,kezuruoha
spin,igbagburugburu
button,mkpochi efe
bell,mgbirigba
rank,msonokwa soja
darkness,ochichiri
clothing,akwa
super,ibu
yield,Mmụba
fence,aja ogbugbu
portrait,onu uzo
survival,mnwufo
roughly,keosisi
lawsuit,ikpe
testimony,mkwuputa
bunch,ụyọkọ
found,ahuru
burden,nsogbu
chamber,chemba
furniture,ihe eji ebi ulo
cooperation,mmekota
string,eriri
ceremony,emume
communicate,izi ozi
cheek,agba
lost,kemfulahu
profile,profili
mechanism,usoro
disagree,iju aju
penalty,ita uta
ie,ka
resort,resotu
destruction,mmebi
unlikely,eleghi anya
tissue,ahummadu
constitutional,akwukwo ikpeu
pant,poko
stranger,onyeobia nwoke
infection,oria ofufe
cabinet,kabinet
broken,kenkuwa
apple,apụl
electric,eletiriiki
proceed,gaba
bet,beeti
literary,na-edegụ akwụkwọ
virus,nje
stupid,nkeiberibe
dispute,igbagha
fortune,uba
strategic,stratejik
assistant,onye mnyemeaka
overcome,merie
remarkable,remakeble
occupy,bigide
statistics,statistiks
shopping,ahia
cousin,nwa nwanne nna
encounter,ipiakwute
wipe,hichaa
initially,ibido
blind,isi
port,onu mmiri
electricity,eletirisiti
genetic,ihe ogugu
adviser,onye ndumodu
spokesman,nkwuwa
retain,inugide amamihe
latter,nke azu
incentive,ike
slave,ohu nwaanyi
translate,itughari
accurate,kekpomkwem
whereas,ebe
terror,ujo
expansion,mmeba
elite,iruelite
Olympic,Oympic
dirt,unyi
odd,adabaghi
rice,ereesi
bullet,mgbo
tight,kenkesiike
Bible,Akwukwu nso
chart,chaati
solar,jehula
square,skware
concentration,ntinye echiche
complicated,mgbagwoju anya
gently,keumeala
champion,onye mmeri
scenario,ngosi
telescope,teliskop
reflection,nchezi
revolution,ogbaaghara
strip,straip
interpret,isughari
friendly,keoyi
tournament,ndorondoro
fiction,agwa
detect,itu ntu
tremendous,kedimkpa
lifetime,ndu
recommendation,nkwanye
senator,onye otu
hunting,ichu nta
salad,salad
guarantee,igba aka ebe
innocent,keaka idi ocha
boundary,oke
pause,kwusi
remote,nke anya
satisfaction,ojujuafo
journal,jonaal
bench,oche benchi
lover,onye aghaghi
raw,nke ndu
awareness,mmata
surprising,nkeebughinuche
withdraw,wepu
deck,oche
similarly,n'otu aka ahụ
newly,ohuru
pole,polu
testify,ikwuputa
mode,modu
dialogue,mkparịta ụka
imply,gosiri
naturally,okpunuwa
mutual,imekorita
founder,onye nchoputa
advanced,keihu
pride,nganga
dismiss,igbasa
aircraft,ugbo elu
delivery,mwegara
mainly,tumadi
bake,ime
freeze,ifriizi
platform,ama ejije
finance,ego
sink,sink
attractive,kemma
diverse,iche iche
relevant,nke dabara
ideal,enweghiatu
joy,obiuto
regularly,mgbedum
working,oru
singer,oguegwu nwaanyi
evolve,ibido
shooting,romgba
partly,ke n'otu
unknown,amaghi
offense,njo
counter,kanta
DNA,Dina
potentially,enwere ike
